seed,step,pass_no,candidate,verdict,Q,R,Q_incumbent,R_incumbent
cold,0,0,0,archive,0.667,1.0,0.667,0.81
cold,1,0,1,archive,0.9,1.0,0.6,0.714
cold,2,0,2,reject,,,,
cold,3,0,3,reject,,,,
cold,4,1,0,reject,,,,
cold,5,1,1,archive,0.75,0.964,0.65,1.0
cold,6,1,2,reject,0.75,0.972,0.667,0.972
cold,7,1,3,reject,0.652,0.946,0.609,0.973
cold,8,2,0,reject,0.76,1.0,0.76,1.0
cold,9,2,1,reject,0.696,0.973,0.652,0.973
cold,10,2,2,reject,0.467,0.952,0.733,0.952
cold,11,2,3,reject,0.652,1.0,0.696,1.0
warm,0,0,0,archive,0.8,0.975,0.65,0.95
warm,1,0,1,reject,0.923,1.0,0.923,1.0
warm,2,0,2,reject,0.708,0.972,0.667,0.972
warm,3,0,3,reject,0.684,1.0,0.684,0.976
warm,4,1,0,reject,0.636,0.974,0.591,0.974
warm,5,1,1,reject,0.682,1.0,0.636,1.0
warm,6,1,2,archive,0.786,1.0,0.643,1.0
warm,7,1,3,reject,0.643,0.955,0.714,0.955
warm,8,2,0,reject,0.733,1.0,0.733,1.0
warm,9,2,1,reject,0.667,1.0,0.733,1.0
warm,10,2,2,archive,0.733,0.952,0.533,0.952
warm,11,2,3,reject,0.733,1.0,0.8,1.0
